City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,78.93,Clouds,-9.8,-139.0333,Villa Enata
1,Geraldton,AU,57.61,Clear,-28.7667,114.6,Broadwater Mariner Resort
2,Arraial Do Cabo,BR,71.56,Clear,-22.9661,-42.0278,Pousada Porto Praia
3,Jacareacanga,BR,75.27,Rain,-6.2222,-57.7528,Casa do Ian😎
4,Hobart,AU,52.02,Clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
5,Nikolskoye,RU,49.89,Clouds,59.7035,30.7861,Tourist House - Sablino
6,Yulara,AU,48.04,Clear,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
8,Kruisfontein,ZA,59.81,Clouds,-34.0033,24.7314,Oyster Bay House Rental
9,Upata,VE,75.2,Clouds,8.0086,-62.3989,Posada Villa Nela
11,Kapaa,US,82.38,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Corinto,GR,59.9,Clouds,37.9407,22.9573,Ephira Hotel
14,Rikitea,PF,77.43,Rain,-23.1203,-134.9692,People ThankYou
15,Bluff,NZ,57.79,Clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
16,Busselton,AU,55.36,Clear,-33.65,115.3333,Observatory Guest House
17,Yellowknife,CA,54.12,Clouds,62.456,-114.3525,The Explorer Hotel
18,Mahibadhoo,MV,84.18,Clouds,3.7833,72.9667,Omadhoo Inn
20,Necochea,AR,57.09,Clouds,-38.5473,-58.7368,dyd -mar Hotel
21,Puerto Ayora,EC,74.73,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Portland,US,60.84,Rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
27,Bambous Virieux,MU,75.45,Clouds,-20.3428,57.7575,Casa Tia Villa
29,Perry,US,61.52,Rain,37.2506,-83.1999,Hampton Inn & Suites Hazard
30,Cape Town,ZA,57.61,Clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
31,Fort Frances,CA,73.17,Clear,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
33,Mataura,NZ,57.47,Clouds,-46.1927,168.8643,Ellie's Villa
34,Kenai,US,56.03,Clouds,60.5544,-151.2583,Aspen Extended Stay Suites
35,Soria,ES,46.85,Clear,41.6667,-2.6667,Casa Rural Sierra de Inodejo
36,Bethel,US,54.91,Rain,41.3712,-73.414,Courtyard by Marriott Danbury
37,Isangel,VU,78.6,Clouds,-19.55,169.2667,Tanna Lodge
39,Charters Towers,AU,76.03,Clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
40,Hilo,US,82.27,Rain,19.7297,-155.09,Hilo Hawaiian Hotel
41,East London,ZA,67.73,Clouds,-33.0153,27.9116,Tu Casa
44,Juneau,US,46.98,Rain,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
46,Ponta Do Sol,PT,68.63,Clouds,32.6667,-17.1,Hotel do Campo
47,Port Alfred,ZA,64.18,Clouds,-33.5906,26.891,The Halyards Hotel
48,Esmeraldas,BR,72.46,Clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
51,Nhulunbuy,AU,84.81,Clouds,-12.2333,136.7667,East Arnhem Real Estate
52,Souillac,MU,75.58,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,New Norfolk,AU,51.66,Rain,-42.7826,147.0587,The Shingles Riverside Cottages
55,Rapid Valley,US,74.71,Clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
56,Saint Anthony,US,71.96,Clear,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
58,Port Macquarie,AU,62.89,Clouds,-31.4333,152.9167,Rydges Port Macquarie
59,Kodiak,US,45.91,Clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
60,Itoman,JP,77.02,Clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
61,Castro,BR,54.7,Clear,-24.7911,-50.0119,CHACARA BAILLY
63,Saldanha,ZA,53.65,Clouds,-33.0117,17.9442,Blue Bay Lodge
64,Pisco,PE,68.05,Clear,-13.7,-76.2167,Hotel San Isidro Oficial
65,Miyako,JP,62.1,Clear,39.6367,141.9525,Hotel Route Inn Miyako
66,Bandarbeyla,SO,81.0,Clouds,9.4942,50.8122,JABIR HOTEL
68,Broome,US,56.17,Clouds,42.2506,-75.833,Chenango Valley State Park
69,Hithadhoo,MV,83.39,Clouds,-0.6,73.0833,Scoop Guest House
71,Ponta Delgada,PT,68.5,Clouds,37.7333,-25.6667,Vila Nova Hotel
74,Kuandian,CN,50.11,Clear,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
75,Kavaratti,IN,84.99,Clouds,10.5669,72.642,Hotels in Lakshadweep Islands
77,Vaini,TO,78.96,Clouds,-21.2,-175.2,Keleti Beach Resort
79,Camacha,PT,60.22,Clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
81,Ancud,CL,52.18,Clouds,-41.8697,-73.8203,Hotel Arena Gruesa
83,Esperance,AU,53.33,Clear,-33.8667,121.9,Hospitality Esperance
85,Martapura,ID,77.09,Clouds,-3.4167,114.85,Montana Hotel Syariah
86,Hami,CN,68.34,Clouds,42.8,93.45,Laoyutang Resort
87,Kavieng,PG,84.88,Clouds,-2.5744,150.7967,Nusa Island Retreat
88,Hermanus,ZA,54.81,Rain,-34.4187,19.2345,Misty Waves Boutique Hotel
89,Mar Del Plata,AR,59.88,Fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
90,Tuusula,FI,45.75,Clouds,60.4037,25.0264,Majatalo Onnela
91,Teguise,ES,62.82,Clouds,29.0605,-13.564,B&B La Casona de Nazaret
92,Kahului,US,84.22,Clouds,20.8947,-156.47,Maui Seaside Hotel
93,Avarua,CK,84.25,Clear,-21.2078,-159.775,Paradise Inn
94,Nemuro,JP,45.91,Clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
95,Meulaboh,ID,76.51,Rain,4.1363,96.1285,Kost Pria
97,Mahebourg,MU,75.49,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
98,Guerrero Negro,MX,69.21,Clear,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
99,Namibe,AO,74.75,Clear,-15.1961,12.1522,Hotel Chik Chik Namibe
100,Quatre Cocos,MU,75.31,Clouds,-20.2078,57.7625,Sunrise Attitude Hotel
102,Bredasdorp,ZA,56.16,Rain,-34.5322,20.0403,Bredasdorp Country Manor
104,Burnie,AU,49.95,Rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
105,Cugir,RO,52.18,Clouds,45.8333,23.3667,Hotel Dragana Cugir
107,Malanje,AO,65.48,Clouds,-9.5402,16.341,Hotel Ginga
108,Boone,US,67.39,Clouds,39.0334,-92.3335,Cottonwoods RV Park
109,Roebourne,AU,74.5,Clear,-20.7833,117.1333,Latitude20 Roebourne Village
110,Kapit,MY,75.11,Clouds,2.0167,112.9333,Hotel Meligai Kapit
111,Cabedelo,BR,77.67,Rain,-6.9811,-34.8339,Hotel Pigalle
112,Port Elizabeth,ZA,62.31,Clear,-33.918,25.5701,39 On Nile Guest House
113,Nara,JP,68.97,Clear,34.6851,135.8049,Guesthouse Nara Komachi
114,Fukue,JP,68.36,Clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
116,Tongren,CN,67.19,Clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
117,Salaga,GH,78.87,Clouds,8.5508,-0.5188,Bore Nada Guest House
118,Tuatapere,NZ,59.9,Clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
124,Praia,CV,72.14,Clear,14.9215,-23.5087,LT Aparthotel
125,Bourail,NC,77.47,Clear,-21.5667,165.4833,Motel Allamanda
127,Hamilton,US,64.24,Thunderstorm,39.1834,-84.5333,Six Acres Bed & Breakfast
128,Haines Junction,CA,49.95,Clouds,60.7522,-137.5108,Parkside Inn
129,Mogadishu,SO,81.59,Clouds,2.0371,45.3438,Hotel Juba
130,Dingle,PH,81.36,Clouds,10.9995,122.6711,SEGAYA PROPERTY
131,Matadi,CD,75.56,Rain,-5.8167,13.45,Hotel Vivi Palace
133,Kandrian,PG,83.73,Clouds,-6.2167,149.55,Kandrian Station
136,Victoria,HK,77.38,Rain,22.2855,114.1577,Mini Hotel Central
137,Cockburn Town,TC,78.76,Clouds,21.4612,-71.1419,Osprey Beach Hotel
139,Dodge City,US,83.93,Clear,37.7528,-100.0171,Windsor Inn & Suites
141,Kutum,SD,75.2,Clouds,14.2,24.6667,Dibbo areaمنطقة دبو
143,Baft,IR,57.69,Clouds,29.234,56.6057,Paeez Hotel & restaurant
